time,actual_power,predicted_power,prediction_error,absolute_error,source_site,weather_condition
2023-01-01 11:59:00,447.305,446.98540150000076,0.3195984999992447,0.3195984999992447,PVDAQ_4,moderate
2023-01-01 12:00:00,465.9388,464.8180740000005,1.1207259999995358,1.1207259999995358,PVDAQ_4,moderate
2023-01-01 12:01:00,479.8976,476.90583328124995,2.991766718750057,2.991766718750057,PVDAQ_4,moderate
2023-01-01 12:02:00,467.817,465.741427333334,2.0755726666660053,2.0755726666660053,PVDAQ_4,moderate
2023-01-01 12:03:00,474.7183,475.64843278125,-0.9301327812499949,0.9301327812499949,PVDAQ_4,moderate
2023-01-01 12:04:00,551.814,543.397753125001,8.416246874998933,8.416246874998933,PVDAQ_4,sunny
2023-01-01 12:05:00,540.838,536.4297205,4.408279499999935,4.408279499999935,PVDAQ_4,sunny
2023-01-01 12:06:00,533.8356,528.3055266666669,5.530073333333121,5.530073333333121,PVDAQ_4,sunny
2023-01-01 12:07:00,529.9756,524.3569359999998,5.618664000000194,5.618664000000194,PVDAQ_4,sunny
2023-01-01 12:08:00,533.1799,523.8225016666664,9.357398333333549,9.357398333333549,PVDAQ_4,sunny
2023-01-01 12:09:00,583.7581,563.8992453547618,19.85885464523824,19.85885464523824,PVDAQ_4,sunny
2023-01-01 12:10:00,633.9961,620.7170925000011,13.279007499998897,13.279007499998897,PVDAQ_4,sunny
2023-01-01 12:11:00,637.9797,620.6120095000009,17.36769049999907,17.36769049999907,PVDAQ_4,sunny
2023-01-01 12:12:00,678.2754,651.0755760000002,27.199823999999808,27.199823999999808,PVDAQ_4,sunny
2023-01-01 12:13:00,685.7425,675.9989519999986,9.743548000001397,9.743548000001397,PVDAQ_4,sunny
2023-01-01 12:14:00,744.2104,725.9182419999999,18.2921580000002,18.2921580000002,PVDAQ_4,sunny
2023-01-01 12:15:00,689.7438,681.4273964999982,8.316403500001798,8.316403500001798,PVDAQ_4,sunny
2023-01-01 12:16:00,643.5914,621.8871170000009,21.704282999999123,21.704282999999123,PVDAQ_4,sunny
2023-01-01 12:17:00,628.043,608.0914079999999,19.95159200000012,19.95159200000012,PVDAQ_4,sunny
2023-01-01 12:18:00,596.6291,581.6383804999994,14.990719500000637,14.990719500000637,PVDAQ_4,sunny
2023-01-01 12:19:00,561.3663,564.052185500001,-2.68588550000095,2.68588550000095,PVDAQ_4,sunny
2023-01-01 12:20:00,573.1616,561.3829059999999,11.778694000000087,11.778694000000087,PVDAQ_4,sunny
2023-01-01 12:21:00,556.4284,554.07619,2.3522100000000137,2.3522100000000137,PVDAQ_4,sunny
2023-01-01 12:22:00,532.4606,532.5192805000004,-0.05868050000037783,0.05868050000037783,PVDAQ_4,sunny
2023-01-01 12:23:00,525.8326,526.988927500001,-1.156327500000998,1.156327500000998,PVDAQ_4,sunny
2023-01-01 12:24:00,535.0594,532.5799360000008,2.4794639999992114,2.4794639999992114,PVDAQ_4,sunny
2023-01-01 12:25:00,501.5509,495.8899485000001,5.660951499999896,5.660951499999896,PVDAQ_4,moderate
2023-01-01 12:26:00,506.7905,503.0686530000002,3.721846999999798,3.721846999999798,PVDAQ_4,moderate
2023-01-01 12:27:00,555.8894,555.3307455000007,0.5586544999993066,0.5586544999993066,PVDAQ_4,sunny
2023-01-01 12:28:00,595.0955,584.8822215000017,10.213278499998296,10.213278499998296,PVDAQ_4,sunny
2023-01-01 12:29:00,568.5866,561.4000980000005,7.18650199999945,7.18650199999945,PVDAQ_4,sunny
2023-01-01 12:30:00,551.4031,538.847511125001,12.555588874998989,12.555588874998989,PVDAQ_4,sunny
2023-01-01 12:31:00,526.5886,528.5676779999999,-1.979077999999845,1.979077999999845,PVDAQ_4,sunny
2023-01-01 12:32:00,495.5364,492.25503,3.281370000000038,3.281370000000038,PVDAQ_4,moderate
2023-01-01 12:33:00,460.972,460.50977309999985,0.46222690000013245,0.46222690000013245,PVDAQ_4,moderate
2023-01-01 12:34:00,460.5873,458.36703774999995,2.2202622500000757,2.2202622500000757,PVDAQ_4,moderate
2023-01-01 12:35:00,475.3455,470.4838978333326,4.86160216666741,4.86160216666741,PVDAQ_4,moderate
2023-01-01 12:36:00,463.0512,461.8455382499996,1.205661750000388,1.205661750000388,PVDAQ_4,moderate
2023-01-01 12:37:00,444.9265,443.37917825000034,1.5473217499996395,1.5473217499996395,PVDAQ_4,moderate
2023-01-01 12:38:00,438.8606,438.2329444999996,0.6276555000004009,0.6276555000004009,PVDAQ_4,moderate
2023-01-01 12:39:00,430.8711,430.3409744999997,0.530125500000338,0.530125500000338,PVDAQ_4,moderate
2023-01-01 12:40:00,444.095,439.85831799999994,4.236682000000087,4.236682000000087,PVDAQ_4,moderate
2023-01-01 12:41:00,433.294,433.5083167999998,-0.21431679999983544,0.21431679999983544,PVDAQ_4,moderate
2023-01-01 12:42:00,424.1487,419.2728366111104,4.875863388889627,4.875863388889627,PVDAQ_4,moderate
2023-01-01 12:43:00,417.7546,415.32785349999887,2.4267465000011157,2.4267465000011157,PVDAQ_4,moderate
2023-01-01 12:44:00,408.1029,409.9108995,-1.8079995000000508,1.8079995000000508,PVDAQ_4,moderate
2023-01-01 12:45:00,409.0455,408.69357749999995,0.3519225000000574,0.3519225000000574,PVDAQ_4,moderate
2023-01-01 12:46:00,414.7183,413.2016983452371,1.5166016547628942,1.5166016547628942,PVDAQ_4,moderate
2023-01-01 12:47:00,412.8112,412.97000661111036,-0.15880661111037853,0.15880661111037853,PVDAQ_4,moderate
2023-01-01 12:48:00,408.8622,409.2061069999991,-0.34390699999914887,0.34390699999914887,PVDAQ_4,moderate
2023-01-01 12:49:00,408.8347,406.52129450833337,2.3134054916666287,2.3134054916666287,PVDAQ_4,moderate
2023-01-01 12:50:00,397.4415,392.106609413636,5.334890586363997,5.334890586363997,PVDAQ_4,moderate
2023-01-01 12:51:00,389.9729,359.3334877499998,30.63941225000019,30.63941225000019,PVDAQ_4,moderate
2023-01-01 12:52:00,363.3053,335.7077184278948,27.597581572105184,27.597581572105184,PVDAQ_4,moderate
2023-01-01 12:53:00,337.8383,327.0442004061853,10.794099593814678,10.794099593814678,PVDAQ_4,moderate
2023-01-01 12:54:00,309.2456,310.398558805953,-1.1529588059529488,1.1529588059529488,PVDAQ_4,moderate
2023-01-01 12:55:00,304.2989,303.5832723833335,0.7156276166664952,0.7156276166664952,PVDAQ_4,moderate
2023-01-01 12:56:00,322.3676,320.59734680416705,1.770253195832936,1.770253195832936,PVDAQ_4,moderate
2023-01-01 12:57:00,332.1405,331.438987169445,0.7015128305549752,0.7015128305549752,PVDAQ_4,moderate
2023-01-01 12:58:00,349.6329,340.2524461735214,9.380453826478629,9.380453826478629,PVDAQ_4,moderate
2023-01-01 12:59:00,348.752,344.22501243202095,4.526987567979063,4.526987567979063,PVDAQ_4,moderate
2023-01-01 13:00:00,326.6778,320.5501628524156,6.12763714758438,6.12763714758438,PVDAQ_4,moderate
2023-01-01 13:01:00,303.5321,288.24180145105333,15.29029854894668,15.29029854894668,PVDAQ_4,moderate
2023-01-01 13:02:00,297.2299,300.7487715000004,-3.5188715000003867,3.5188715000003867,PVDAQ_4,moderate
2023-01-01 13:03:00,313.3481,308.42047700000046,4.927622999999528,4.927622999999528,PVDAQ_4,moderate
2023-01-01 13:04:00,343.9769,339.0432308696589,4.933669130341116,4.933669130341116,PVDAQ_4,moderate
2023-01-01 13:05:00,307.1842,305.4680836750001,1.7161163249998594,1.7161163249998594,PVDAQ_4,moderate
2023-01-01 13:06:00,315.0253,312.200889675758,2.8244103242420238,2.8244103242420238,PVDAQ_4,moderate
2023-01-01 13:07:00,327.9489,323.43126121107287,4.5176387889271155,4.5176387889271155,PVDAQ_4,moderate
2023-01-01 13:08:00,331.1364,327.90669066810443,3.229709331895549,3.229709331895549,PVDAQ_4,moderate
2023-01-01 13:09:00,277.9249,280.43111898500007,-2.506218985000089,2.506218985000089,PVDAQ_4,moderate
2023-01-01 13:10:00,261.2431,255.3123946190478,5.930705380952219,5.930705380952219,PVDAQ_4,moderate
2023-01-01 13:11:00,264.5601,253.17953353293677,11.380566467063204,11.380566467063204,PVDAQ_4,moderate
2023-01-01 13:12:00,280.4849,279.2017287749995,1.2831712250005012,1.2831712250005012,PVDAQ_4,moderate
2023-01-01 13:13:00,246.6818,246.60914050000002,0.07265949999998611,0.07265949999998611,PVDAQ_4,moderate
2023-01-01 13:14:00,250.261,247.47579699999977,2.785203000000223,2.785203000000223,PVDAQ_4,moderate
2023-01-01 13:15:00,252.7201,253.8202114999995,-1.1001114999994854,1.1001114999994854,PVDAQ_4,moderate
2023-01-01 13:16:00,254.1239,253.05848541666634,1.0654145833336486,1.0654145833336486,PVDAQ_4,moderate
2023-01-01 13:17:00,262.8393,260.8872965904766,1.9520034095233996,1.9520034095233996,PVDAQ_4,moderate
2023-01-01 13:18:00,284.3253,283.74349702263703,0.5818029773629974,0.5818029773629974,PVDAQ_4,moderate
2023-01-01 13:19:00,299.2341,295.2417737523809,3.9923262476191326,3.9923262476191326,PVDAQ_4,moderate
2023-01-01 13:20:00,326.5391,325.8942278073414,0.6448721926586245,0.6448721926586245,PVDAQ_4,moderate
2023-01-01 13:21:00,330.4789,329.0274949781753,1.451405021824712,1.451405021824712,PVDAQ_4,moderate
2023-01-01 13:22:00,304.3411,306.1654179090913,-1.8243179090912918,1.8243179090912918,PVDAQ_4,moderate
2023-01-01 13:23:00,287.6972,290.44404177777835,-2.746841777778343,2.746841777778343,PVDAQ_4,moderate
2023-01-01 13:24:00,274.5816,274.39067406721955,0.19092593278043068,0.19092593278043068,PVDAQ_4,moderate
2023-01-01 13:25:00,269.1066,267.10185256895403,2.0047474310459847,2.0047474310459847,PVDAQ_4,moderate
2023-01-01 13:26:00,280.0054,275.4129611761902,4.5924388238098,4.5924388238098,PVDAQ_4,moderate
2023-01-01 13:27:00,289.4293,266.44810182666686,22.981198173333155,22.981198173333155,PVDAQ_4,moderate
2023-01-01 13:28:00,305.4281,302.2172477499996,3.2108522500003573,3.2108522500003573,PVDAQ_4,moderate
2023-01-01 13:29:00,272.8148,272.4257263878815,0.3890736121184659,0.3890736121184659,PVDAQ_4,moderate
2023-01-01 13:30:00,272.12,270.8198367335464,1.3001632664535805,1.3001632664535805,PVDAQ_4,moderate
2023-01-01 13:31:00,245.2733,247.5798355,-2.3065354999999954,2.3065354999999954,PVDAQ_4,moderate
2023-01-01 13:32:00,235.7741,232.6959099999997,3.0781900000002906,3.0781900000002906,PVDAQ_4,moderate
2023-01-01 13:33:00,220.4241,221.27861199999995,-0.8545119999999429,0.8545119999999429,PVDAQ_4,moderate
2023-01-01 13:34:00,203.5047,203.9877470000003,-0.48304700000028333,0.48304700000028333,PVDAQ_4,cloudy
2023-01-01 13:35:00,196.5979,199.45724699999985,-2.8593469999998433,2.8593469999998433,PVDAQ_4,cloudy
2023-01-01 13:36:00,190.4083,192.58220049999974,-2.173900499999746,2.173900499999746,PVDAQ_4,cloudy
2023-01-01 13:37:00,179.3979,180.59816549999974,-1.2002654999997446,1.2002654999997446,PVDAQ_4,cloudy
2023-01-01 13:38:00,172.6992,176.0020400833333,-3.302840083333308,3.302840083333308,PVDAQ_4,cloudy
2023-01-01 13:39:00,175.8377,174.23476133333355,1.6029386666664607,1.6029386666664607,PVDAQ_4,cloudy
2023-01-01 13:40:00,173.684,174.56914859999998,-0.8851485999999795,0.8851485999999795,PVDAQ_4,cloudy
2023-01-01 13:41:00,171.5752,172.7633226666668,-1.1881226666667999,1.1881226666667999,PVDAQ_4,cloudy
