time,source_site,actual_power,predicted_power,prediction_error,absolute_error
2023-01-01 04:55:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 04:56:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 04:57:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 04:58:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 04:59:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:00:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:01:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:02:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:03:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:04:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:05:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:06:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:07:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:08:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:09:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:10:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:11:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:12:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:13:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:14:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:15:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:16:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:17:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:18:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:19:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:20:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:21:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:22:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:23:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:24:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:25:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:26:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:27:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:28:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:29:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:30:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:31:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:32:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:33:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:34:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:35:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:36:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:37:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:38:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:39:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:40:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:41:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:42:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:43:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:44:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:45:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:46:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:47:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:48:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:49:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:50:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:51:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:52:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:53:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:54:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:55:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:56:00,PVDAQ_10,0.0,0.0,0.0,0.0
2023-01-01 05:57:00,PVDAQ_10,0.0,0.0,0.0,0.0
