time,source_site,actual_power,predicted_power,prediction_error,absolute_error
2023-01-01 00:00:00,PVDAQ_10,0.0,0.6832703923,-0.6832703923,0.6832703923
2023-01-01 00:01:00,PVDAQ_10,0.0,0.876869526,-0.876869526,0.876869526
2023-01-01 00:02:00,PVDAQ_10,0.0,0.8070760382,-0.8070760382,0.8070760382
2023-01-01 00:03:00,PVDAQ_10,0.0,0.7980216997,-0.7980216997,0.7980216997
2023-01-01 00:04:00,PVDAQ_10,0.0,1.3051639555,-1.3051639555,1.3051639555
2023-01-01 00:05:00,PVDAQ_10,0.0,1.0242784088,-1.0242784088,1.0242784088
2023-01-01 00:06:00,PVDAQ_10,0.0,1.0551852174,-1.0551852174,1.0551852174
2023-01-01 00:07:00,PVDAQ_10,0.0,0.2426469168,-0.2426469168,0.2426469168
2023-01-01 00:08:00,PVDAQ_10,0.0,0.4496909606,-0.4496909606,0.4496909606
2023-01-01 00:09:00,PVDAQ_10,0.0,1.2404283517,-1.2404283517,1.2404283517
2023-01-01 00:10:00,PVDAQ_10,0.0,0.7589187677,-0.7589187677,0.7589187677
2023-01-01 00:11:00,PVDAQ_10,0.0,0.9004228983,-0.9004228983,0.9004228983
2023-01-01 00:12:00,PVDAQ_10,0.0,0.7057532391,-0.7057532391,0.7057532391
2023-01-01 00:13:00,PVDAQ_10,0.0,0.8104504137,-0.8104504137,0.8104504137
2023-01-01 00:14:00,PVDAQ_10,0.0,0.5195053296,-0.5195053296,0.5195053296
2023-01-01 00:15:00,PVDAQ_10,0.0,0.6319471968,-0.6319471968,0.6319471968
2023-01-01 00:16:00,PVDAQ_10,0.0,0.768721478,-0.768721478,0.768721478
2023-01-01 00:17:00,PVDAQ_10,0.0,0.9714213574,-0.9714213574,0.9714213574
2023-01-01 00:18:00,PVDAQ_10,0.0,0.8644531583,-0.8644531583,0.8644531583
2023-01-01 00:19:00,PVDAQ_10,0.0,1.077039219,-1.077039219,1.077039219
2023-01-01 00:20:00,PVDAQ_10,0.0,1.3623930623,-1.3623930623,1.3623930623
2023-01-01 00:21:00,PVDAQ_10,0.0,0.8499396734,-0.8499396734,0.8499396734
2023-01-01 00:22:00,PVDAQ_10,0.0,0.9459249821,-0.9459249821,0.9459249821
2023-01-01 00:23:00,PVDAQ_10,0.0,1.0934636347,-1.0934636347,1.0934636347
2023-01-01 00:24:00,PVDAQ_10,0.0,1.4701408359,-1.4701408359,1.4701408359
2023-01-01 00:25:00,PVDAQ_10,0.0,1.4635124113,-1.4635124113,1.4635124113
2023-01-01 00:26:00,PVDAQ_10,0.0,1.3386982601,-1.3386982601,1.3386982601
2023-01-01 00:27:00,PVDAQ_10,0.0,1.7812502574,-1.7812502574,1.7812502574
2023-01-01 00:28:00,PVDAQ_10,0.0,1.5936245324,-1.5936245324,1.5936245324
2023-01-01 00:29:00,PVDAQ_10,0.0,1.9641665154,-1.9641665154,1.9641665154
2023-01-01 00:30:00,PVDAQ_10,0.0,1.8612322021,-1.8612322021,1.8612322021
2023-01-01 00:31:00,PVDAQ_10,0.0,1.5416542923,-1.5416542923,1.5416542923
2023-01-01 00:32:00,PVDAQ_10,0.0,1.4298980768,-1.4298980768,1.4298980768
2023-01-01 00:33:00,PVDAQ_10,0.0,1.0934636347,-1.0934636347,1.0934636347
2023-01-01 00:34:00,PVDAQ_10,0.0,1.0297238121,-1.0297238121,1.0297238121
2023-01-01 00:35:00,PVDAQ_10,0.0,1.8212808371,-1.8212808371,1.8212808371
2023-01-01 00:36:00,PVDAQ_10,0.0,1.3550423546,-1.3550423546,1.3550423546
2023-01-01 00:37:00,PVDAQ_10,0.0,1.8935752134,-1.8935752134,1.8935752134
2023-01-01 00:38:00,PVDAQ_10,0.0,1.8894570678,-1.8894570678,1.8894570678
2023-01-01 00:39:00,PVDAQ_10,0.0,0.6151399231,-0.6151399231,0.6151399231
2023-01-01 00:40:00,PVDAQ_10,0.0,0.9914896066,-0.9914896066,0.9914896066
2023-01-01 00:41:00,PVDAQ_10,0.0,1.0188151985,-1.0188151985,1.0188151985
2023-01-01 00:42:00,PVDAQ_10,0.0,1.063450442,-1.063450442,1.063450442
2023-01-01 00:43:00,PVDAQ_10,0.0,0.8818382675,-0.8818382675,0.8818382675
2023-01-01 00:44:00,PVDAQ_10,0.0,0.9845579435,-0.9845579435,0.9845579435
2023-01-01 00:45:00,PVDAQ_10,0.0,0.6576406863,-0.6576406863,0.6576406863
2023-01-01 00:46:00,PVDAQ_10,0.0,0.7675446327,-0.7675446327,0.7675446327
2023-01-01 00:47:00,PVDAQ_10,0.0,0.8193278623,-0.8193278623,0.8193278623
2023-01-01 00:48:00,PVDAQ_10,0.0,0.7809072161,-0.7809072161,0.7809072161
2023-01-01 00:49:00,PVDAQ_10,0.0,0.7719548506,-0.7719548506,0.7719548506
2023-01-01 00:50:00,PVDAQ_10,0.0,0.876931661,-0.876931661,0.876931661
2023-01-01 00:51:00,PVDAQ_10,0.0,1.2405039233,-1.2405039233,1.2405039233
2023-01-01 00:52:00,PVDAQ_10,0.0,1.3744916166,-1.3744916166,1.3744916166
2023-01-01 00:53:00,PVDAQ_10,0.0,1.0473349108,-1.0473349108,1.0473349108
2023-01-01 00:54:00,PVDAQ_10,0.0,0.7488428831,-0.7488428831,0.7488428831
2023-01-01 00:55:00,PVDAQ_10,0.0,0.7519399939,-0.7519399939,0.7519399939
2023-01-01 00:56:00,PVDAQ_10,0.0,0.8282100362,-0.8282100362,0.8282100362
2023-01-01 00:57:00,PVDAQ_10,0.0,0.8711532207,-0.8711532207,0.8711532207
2023-01-01 00:58:00,PVDAQ_10,0.0,0.8126300827,-0.8126300827,0.8126300827
2023-01-01 00:59:00,PVDAQ_10,0.0,0.6800826282,-0.6800826282,0.6800826282
2023-01-01 01:00:00,PVDAQ_10,0.0,1.0188151985,-1.0188151985,1.0188151985
2023-01-01 01:01:00,PVDAQ_10,0.0,0.744781658,-0.744781658,0.744781658
2023-01-01 01:02:00,PVDAQ_10,0.0,0.9535037193,-0.9535037193,0.9535037193
2023-01-01 01:03:00,PVDAQ_10,0.0,1.512214432,-1.512214432,1.512214432
2023-01-01 01:04:00,PVDAQ_10,0.0,1.3700906473,-1.3700906473,1.3700906473
2023-01-01 01:05:00,PVDAQ_10,0.0,1.58348234,-1.58348234,1.58348234
2023-01-01 01:06:00,PVDAQ_10,0.0,1.1625302443,-1.1625302443,1.1625302443
2023-01-01 01:07:00,PVDAQ_10,0.0,0.5738250145,-0.5738250145,0.5738250145
2023-01-01 01:08:00,PVDAQ_10,0.0,0.6087686893,-0.6087686893,0.6087686893
2023-01-01 01:09:00,PVDAQ_10,0.0,1.27102817,-1.27102817,1.27102817
2023-01-01 01:10:00,PVDAQ_10,0.0,0.5875525898,-0.5875525898,0.5875525898
2023-01-01 01:11:00,PVDAQ_10,0.0,0.7715413621,-0.7715413621,0.7715413621
2023-01-01 01:12:00,PVDAQ_10,0.0,1.8250594038,-1.8250594038,1.8250594038
2023-01-01 01:13:00,PVDAQ_10,0.0,0.5214918728,-0.5214918728,0.5214918728
2023-01-01 01:14:00,PVDAQ_10,0.0,0.3183689354,-0.3183689354,0.3183689354
2023-01-01 01:15:00,PVDAQ_10,0.0,0.3183427061,-0.3183427061,0.3183427061
2023-01-01 01:16:00,PVDAQ_10,0.0,0.3375365993,-0.3375365993,0.3375365993
2023-01-01 01:17:00,PVDAQ_10,0.0,0.4713019976,-0.4713019976,0.4713019976
2023-01-01 01:18:00,PVDAQ_10,0.0,0.6217421408,-0.6217421408,0.6217421408
2023-01-01 01:19:00,PVDAQ_10,0.0,1.2381578526,-1.2381578526,1.2381578526
2023-01-01 01:20:00,PVDAQ_10,0.0,0.79141382,-0.79141382,0.79141382
2023-01-01 01:21:00,PVDAQ_10,0.0,0.8835941786,-0.8835941786,0.8835941786
2023-01-01 01:22:00,PVDAQ_10,0.0,0.8835941786,-0.8835941786,0.8835941786
2023-01-01 01:23:00,PVDAQ_10,0.0,0.3541562851,-0.3541562851,0.3541562851
2023-01-01 01:24:00,PVDAQ_10,0.0,0.4871927841,-0.4871927841,0.4871927841
2023-01-01 01:25:00,PVDAQ_10,0.0,0.3183689354,-0.3183689354,0.3183689354
2023-01-01 01:26:00,PVDAQ_10,0.0,1.6195432666,-1.6195432666,1.6195432666
2023-01-01 01:27:00,PVDAQ_10,0.0,0.7535575296,-0.7535575296,0.7535575296
2023-01-01 01:28:00,PVDAQ_10,0.0,0.8029716024,-0.8029716024,0.8029716024
2023-01-01 01:29:00,PVDAQ_10,0.0,1.3590154467,-1.3590154467,1.3590154467
2023-01-01 01:30:00,PVDAQ_10,0.0,0.6961204072,-0.6961204072,0.6961204072
2023-01-01 01:31:00,PVDAQ_10,0.0,0.9632806823,-0.9632806823,0.9632806823
2023-01-01 01:32:00,PVDAQ_10,0.0,1.3001816864,-1.3001816864,1.3001816864
2023-01-01 01:33:00,PVDAQ_10,0.0,1.2541463271,-1.2541463271,1.2541463271
2023-01-01 01:34:00,PVDAQ_10,0.0,1.1929023565,-1.1929023565,1.1929023565
2023-01-01 01:35:00,PVDAQ_10,0.0,1.4635150563,-1.4635150563,1.4635150563
2023-01-01 01:36:00,PVDAQ_10,0.0,1.4008738525,-1.4008738525,1.4008738525
2023-01-01 01:37:00,PVDAQ_10,0.0,1.1946891838,-1.1946891838,1.1946891838
2023-01-01 01:38:00,PVDAQ_10,0.0,1.1943999403,-1.1943999403,1.1943999403
2023-01-01 01:39:00,PVDAQ_10,0.0,1.4510741521,-1.4510741521,1.4510741521
2023-01-01 01:40:00,PVDAQ_10,0.0,1.5526754407,-1.5526754407,1.5526754407
