season,rows,sites,irradiance_mean,irradiance_std,temperature_mean,temperature_std,power_kw_mean,power_kw_std,normalized_power_mean,cross_site_mae,cross_site_rmse,cross_site_r2
Spring,5971,6,438.3840619845922,377.0797168208764,9.177164859231844,6.368874229079326,26.56818442905199,130.85073621563794,0.31531834433249817,0.03712204424004741,0.07889929451618048,0.9257872366505983
Summer,4675,7,415.8217168727273,334.97404494365827,24.05617540770045,4.3114281163249055,42.226469783124564,165.21378683562233,0.27086696376914293,0.06797771023077946,0.14803237967497485,0.6126140496760247
Autumn,4133,6,553.9644106194048,310.40851474592904,11.566748194047909,4.713583638186889,32.013226182315506,137.17556997043255,0.42454019307616586,0.03249223454207102,0.04633043808128766,0.9649951430503118
Winter,6943,7,410.442278947141,357.2182904737124,2.3075151650596286,4.711294788080836,15.03466073867919,78.29474452099916,0.28872129708443994,0.05293497948481754,0.1134571170228355,0.8407915840993598
