model_type,features,MAE,RMSE,R2,main_feature
Environment-Based Model,"irradiance, temperature",2.5414330316,7.1594686947,0.997647711,irradiance
Electrical-Assisted Model,"irradiance, temperature, voltage, current",0.732823267,2.7112135842,0.9996626688,current
