feature,min,max,mean,std,missing_count,unique_count
current,0.1738581999999999,8.8396,1.6752214784722221,1.108457862327173,0,2673
voltage,115.45,119.4433,117.4962895138889,0.6364976495473149,0,1688
irradiance,0.0,1325.5,89.71306397884895,199.9551069486048,0,2228
temperature,-8.3368,4.905532,-2.0035048293725697,2.680180986270805,0,5565
power,0.0,1017.6,62.861913894272575,147.62950451363872,0,2433
