system_id,system_public_name,site_location,timezone_or_utc_offset,latitude,longitude,elevation_m,dc_capacity_kW,kg_climate,pvcz_composite,pvcz_t_rack,pvcz_t_roof,pvcz_humidity,pvcz_wind,tracking,type,azimuth,tilt,first_timestamp,last_timestamp,years,number_records,dataset_size_mb,available_sensor_channels,qa_status,qa_issue,,,,,
1218,Mercury Solar Systems - Array 7,"Port Chester, NY",America/New_York,40.995,-73.668,75,7.92,Cfa,33,3,6,3,3,fixed,roof,180,5,4/21/2011 11:29,1/21/2015 12:00,3.7561,2876577,65.84,4,fail,,,,,,
1219,Mercury Solar Systems - Array 10,"Port Chester, NY",America/New_York,40.995,-73.668,75,8.192,Cfa,33,3,6,3,3,fixed,roof,180,,4/21/2011 11:38,1/21/2015 12:00,3.7561,2312513,52.93,4,fail,,,,,,
1220,Mercury Solar Systems - Array 4,"Port Chester, NY",America/New_York,40.995,-73.668,75,8.54,Cfa,33,3,6,3,3,fixed,roof,180,,4/21/2011 11:38,1/21/2015 12:00,3.7561,2570742,58.84,3,fail,,,,,,
1221,Mercury Solar Systems - Array 11,"Port Chester, NY",America/New_York,40.995,-73.668,75,8.28,Cfa,33,3,6,3,3,fixed,roof,180,10,4/21/2011 11:45,1/21/2015 12:00,3.7561,2772658,63.46,4,fail,,,,,,
1222,Mercury Solar Systems - Array 5,"Port Chester, NY",America/New_York,40.995,-73.668,75,8.54,Cfa,33,3,6,3,3,fixed,roof,180,5,4/21/2011 11:45,1/21/2015 12:00,3.7561,2514513,57.55,3,fail,,,,,,
1223,Mercury Solar Systems - Array 3,"Port Chester, NY",America/New_York,40.995,-73.668,75,7.92,Cfa,33,3,6,3,3,fixed,roof,180,,4/21/2011 11:53,1/21/2015 12:00,3.7561,2360128,54.02,4,fail,,,,,,
1224,Mercury Solar Systems - Array 9,"Port Chester, NY",America/New_York,40.995,-73.668,75,8.28,Cfa,33,3,6,3,3,fixed,roof,180,10,4/21/2011 11:53,1/21/2015 12:00,3.7561,2874808,65.8,3,fail,,,,,,
1225,Mercury Solar Systems - Array 1B,"Port Chester, NY",America/New_York,40.995,-73.668,75,4.4,Cfa,33,3,6,3,3,fixed,roof,180,10,4/21/2011 12:41,1/21/2015 12:00,3.7561,2386819,54.63,4,fail,,,,,,
1226,Mercury Solar Systems - Array 8A,"Port Chester, NY",America/New_York,40.995,-73.668,75,3.85,Cfa,33,3,6,3,3,fixed,roof,180,10,4/21/2011 12:41,1/21/2015 12:00,3.7561,2901621,66.41,3,fail,,,,,,
1228,Mercury Solar Systems - Module Temperatures,"Port Chester, NY",America/New_York,40.995,-73.668,75,,Cfa,33,3,6,3,3,fixed,roof,180,,6/29/2011 20:30,4/8/2014 18:31,2.778,12938674,296.14,13,fail,,,,,,
1229,FSEC - Zero Energy House - Lakeland,"Lakeland, FL",America/New_York,28.0392,-81.95,58,4.05,Cfa,45,5,8,4,4,fixed,roof,240,33.3,4/30/1998 0:15,12/16/2004 1:00,6.6356,2075990,47.52,10,fail,,,,,,
1230, FSEC - Zero Energy House - Livermore,"Livermore, FL",America/Los_Angeles,37.6478,-121.7742,150,3.6,Csb,33,3,6,3,1,fixed,roof,180,,8/5/2002 0:15,10/24/2007 23:45,5.2219,786925,18.01,5,fail,,,,,,
1231,FSEC - Zero Energy House - New Smyrna Beach,"New Smyrna Beach, FL",America/New_York,29.0258,-80.9274,2,3.36,Cfa,45,5,8,4,4,fixed,roof,270,20,7/29/2000 16:00,1/25/2006 23:15,5.4958,724958,16.59,4,fail,,,,,,
1239,Univ. of Maine - Presque Isle,"Presque Isle, ME",America/New_York,46.6704,-68.0178,197,20.16,Dfb,22,2,4,2,2,fixed,roof,155,10,9/18/2011 23:00,7/26/2020 17:00,8.8602,2463653,56.39,8,pass,Filtered time series less than 1.0 years data,,,,,
1244,Residential - NOLA -31 - Distric A north,"New Orleans, LA",America/Chicago,30.0017,-90.0926,10,3.24,Cfa,44,4,7,4,4,fixed,roof,185.9,17,3/7/2012 14:04,7/24/2015 7:10,3.3808,1372128,31.41,4,fail,,,,,,
