measured_on,ac_current__427,ac_power__423,ac_voltage__426,ambient_temp__428,das_battery_voltage__434,das_temp__433,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,inverter_temp__432,module_temp_1__429,module_temp_2__430,module_temp_3__431,poa_irradiance__421,system_id
2021-01-15 00:00:00,1.6785,-1.3762,118.91,-6.4788,13.834,-5.7803,-0.0602499999999999,0.12414,-0.00429,-8.524,-10.104,-10.136,-10.151,-2.6556,10
2021-01-15 00:01:00,1.6788,-1.3318,118.97,-6.5089,13.835,-5.7942,-0.06812,-0.1374499999999999,0.01856,-8.5461,-10.027,-10.096,-10.188,-2.6556,10
2021-01-15 00:02:00,1.6779,-1.243,119.06,-6.5226,13.836,-5.8029,-0.0635399999999999,0.17291,-0.0054,-8.5426,-10.028,-10.086,-10.224,-2.6556,10
2021-01-15 00:03:00,1.679,-1.3984,119.0,-6.5079,13.838,-5.8047,-0.06611,0.50988,-0.0326299999999999,-8.5081,-9.8393,-9.9856,-10.2,-2.6556,10
2021-01-15 00:04:00,1.6785,-1.3096,118.98,-6.4564,13.837,-5.8012,-0.07087,0.31479,-0.02099,-8.4581,-9.7564,-9.926,-10.194,-2.6556,10
2021-01-15 00:05:00,1.6785,-1.3873,118.95,-6.4078,13.838,-5.8047,-0.07197,0.0,0.00095,-8.413,-9.7097,-9.8895,-10.171,-2.6556,10
2021-01-15 00:06:00,1.6788,-1.1875,119.03,-6.3997,13.838,-5.8204,-0.05933,-0.35913,0.02449,-8.3933,-9.5743,-9.8522,-10.215,-2.6556,10
2021-01-15 00:07:00,1.6779,-1.2208,119.11,-6.4316,13.839,-5.8239,-0.0604299999999999,0.03104,-0.00071,-8.357599999999998,-9.4389,-9.785100000000002,-10.201,-2.6556,10
2021-01-15 00:08:00,1.6782,-1.4428,119.02,-6.4816,13.84,-5.8222,-0.06226,0.40347,-0.02657,-8.3312,-9.3717,-9.72,-10.173,-2.6556,10
2021-01-15 00:09:00,1.6788,-1.2874,119.02,-6.546,13.841,-5.8414,-0.06281,0.04877,-0.00167,-8.3491,-9.4398,-9.7969,-10.227,-2.6556,10
2021-01-15 00:10:00,1.6793,-1.4317,118.84,-6.5991,13.84,-5.8414,-0.0639099999999999,-0.0531999999999999,0.00117,-8.3679,-9.5095,-9.8639,-10.293,-2.6556,10
2021-01-15 00:11:00,1.6788,-1.3096,118.83,-6.6303,13.84,-5.8449,-0.0651899999999999,-0.2704599999999999,0.0190899999999999,-8.3685,-9.5196,-9.8681,-10.365,-2.6556,10
2021-01-15 00:12:00,1.6788,-1.1986,118.89,-6.654,13.84,-5.8641,-0.0609799999999999,0.46554,-0.02543,-8.4162,-9.5746,-9.8809,-10.375,-2.6556,10
2021-01-15 00:13:00,1.6788,-1.3984,118.88,-6.6785,13.84,-5.8623,-0.07068,-0.0132999999999999,0.0040899999999999,-8.4304,-9.5278,-9.8843,-10.435,-2.6557,10
2021-01-15 00:14:00,1.6788,-1.3984,118.77,-6.7406,13.841,-5.8641,-0.06592,0.3325299999999999,-0.0241299999999999,-8.4633,-9.5958,-9.9443,-10.422,-2.6557,10
2021-01-15 00:15:00,1.6788,-1.354,118.78,-6.8061,13.84,-5.8763,-0.06611,-0.06651,0.00215,-8.4909,-9.5921,-9.9778,-10.4,-2.6557,10
2021-01-15 00:16:00,1.6779,-1.3762,118.81,-6.8228,13.84,-5.885,-0.06336,-0.1906499999999999,0.01246,-8.505499999999998,-9.6439,-9.9859,-10.415,-2.7387,10
2021-01-15 00:17:00,1.6788,-1.5093,118.84,-6.7022,13.841,-5.8885,-0.05988,-0.1330099999999999,0.00958,-8.4909,-9.6954,-9.9028,-10.359,-2.794,10
2021-01-15 00:18:00,1.6793,-1.3984,118.87,-6.5765,13.841,-5.8903,-0.06574,-0.2660199999999999,0.01434,-8.448399999999998,-9.5517,-9.8318,-10.407,-2.711,10
2021-01-15 00:19:00,1.6785,-1.5093,118.87,-6.4571,13.845,-5.8938,-0.0650099999999999,0.0088699999999999,-0.00123,-8.4258,-9.585,-9.7858,-10.309,-2.6557,10
2021-01-15 00:20:00,1.6793,-1.3873,118.84,-6.4128,13.844,-5.899,-0.0670199999999999,-0.2660199999999999,0.01686,-8.4129,-9.5314,-9.7526,-10.315,-2.6557,10
2021-01-15 00:21:00,1.679,-1.2874,118.82,-6.3566,13.846,-5.9042,-0.0653699999999999,-0.1330099999999999,0.0083999999999999,-8.378299999999998,-9.5098,-9.6909,-10.279,-2.711,10
2021-01-15 00:22:00,1.6793,-1.3651,118.86,-6.3235,13.845,-5.9235,-0.0714199999999999,0.07981,-0.0064099999999999,-8.3563,-9.3889,-9.6587,-10.273,-2.6833,10
2021-01-15 00:23:00,1.6793,-1.243,118.89,-6.3009,13.845,-5.9305,-0.06647,-0.18622,0.0097699999999999,-8.293,-9.2222,-9.5377,-10.192,-2.6557,10
2021-01-15 00:24:00,1.6788,-1.4539,118.83,-6.2236,13.845,-5.9252,-0.06464,0.07094,-0.00379,-8.2036,-9.0774,-9.4641,-10.106,-2.6557,10
2021-01-15 00:25:00,1.6777,-1.3429,118.82,-6.2028,13.845,-5.9287,-0.0651899999999999,-0.03104,0.0081799999999999,-8.1615,-9.0156,-9.3905,-10.064,-2.6557,10
2021-01-15 00:26:00,1.6788,-1.2985,118.84,-6.1964,13.845,-5.9462,-0.06647,0.24829,-0.01709,-8.124,-8.9809,-9.4154,-10.04,-2.6557,10
2021-01-15 00:27:00,1.6777,-1.3651,118.94,-6.2192,13.845,-5.9549,-0.06318,-0.27932,0.01542,-8.1531,-9.0151,-9.4868,-10.105,-2.6557,10
2021-01-15 00:28:00,1.679,-1.3984,118.99,-6.2592,13.843,-5.9707,-0.06904,-0.1684799999999999,0.0097099999999999,-8.195,-9.0382,-9.5397,-10.165,-2.6557,10
2021-01-15 00:29:00,1.6785,-1.3651,118.95,-6.2861,13.846,-5.9741,-0.0668399999999999,0.25272,-0.0143199999999999,-8.2173,-9.1805,-9.5418,-10.126,-2.6557,10
2021-01-15 00:30:00,1.679,-1.4317,118.98,-6.3162,13.846,-5.9689,-0.07123,-0.31479,0.0237899999999999,-8.2302,-9.2486,-9.5743,-10.184,-2.6557,10
2021-01-15 00:31:00,1.6788,-1.3429,118.97,-6.3304,13.846,-5.9829,-0.0637299999999999,0.3369599999999999,-0.02129,-8.2667,-9.2314,-9.5949,-10.231,-2.6557,10
2021-01-15 00:32:00,1.6785,-1.3429,119.03,-6.3198,13.846,-5.9934,-0.06336,-0.24829,0.016,-8.2751,-9.2754,-9.5386,-10.23,-2.6833,10
2021-01-15 00:33:00,1.6785,-1.3207,119.03,-6.3166,13.847,-5.9916,-0.0587799999999999,0.0,-0.0027,-8.282,-9.326,-9.5761,-10.23,-2.6833,10
2021-01-15 00:34:00,1.6785,-1.465,119.0,-6.359,13.847,-5.9899,-0.0611599999999999,-0.49214,0.03492,-8.301299999999998,-9.345300000000002,-9.6413,-10.225,-2.7387,10
2021-01-15 00:35:00,1.679,-1.1542,119.0,-6.3533,13.846,-5.9916,-0.06592,-0.3014899999999999,0.01163,-8.3103,-9.4191,-9.6314,-10.171,-2.7387,10
2021-01-15 00:36:00,1.6782,-1.3651,118.99,-6.3313,13.846,-6.0021,-0.06135,-0.25272,0.0137299999999999,-8.3129,-9.4602,-9.6638,-10.291,-2.6833,10
2021-01-15 00:37:00,1.6777,-1.2985,118.99,-6.3476,13.846,-6.0126,-0.0639099999999999,-0.2261199999999999,0.0117699999999999,-8.3437,-9.5042,-9.6788,-10.301,-2.8217,10
2021-01-15 00:38:00,1.6788,-1.3429,119.06,-6.3264,13.846,-6.0126,-0.06794,-0.4832699999999999,0.03381,-8.335,-9.5602,-9.686000000000002,-10.328,-2.96,10
2021-01-15 00:39:00,1.6782,-1.3207,118.95,-6.3247,13.847,-6.0196,-0.0697699999999999,-0.0842399999999999,0.0132599999999999,-8.3384,-9.5622,-9.698200000000002,-10.35,-3.126,10
2021-01-15 00:40:00,1.6782,-1.354,119.03,-6.2899,13.847,-6.0354,-0.0585999999999999,0.18178,-0.0075599999999999,-8.3535,-9.5279,-9.6261,-10.303,-3.0153,10
2021-01-15 00:41:00,1.679,-1.3318,119.04,-6.2582,13.846,-6.0319,-0.0637299999999999,-0.12858,0.01048,-8.348599999999998,-9.5418,-9.6087,-10.281,-3.0153,10
2021-01-15 00:42:00,1.679,-1.2874,119.01,-6.2442,13.847,-6.0336,-0.06318,0.23499,-0.0148299999999999,-8.3438,-9.497000000000002,-9.5603,-10.23,-2.8217,10
2021-01-15 00:43:00,1.6788,-1.2874,119.04,-6.2462,13.848,-6.0371,-0.0640899999999999,0.23055,-0.01188,-8.3263,-9.5318,-9.5652,-10.225,-2.9047,10
2021-01-15 00:44:00,1.6779,-1.3096,119.04,-6.2063,13.847,-6.0528,-0.0606099999999999,-0.6960899999999999,0.04335,-8.2993,-9.4437,-9.4837,-10.232,-2.8493,10
