measured_on,ac_current__588,ac_power__584,ac_voltage__587,ambient_temp__589,das_battery_voltage__595,das_temp__594,dc_pos_current__586,dc_pos_voltage__585,dc_power__583,inverter_temp__593,module_temp_1__590,module_temp_2__591,module_temp_3__592,poa_irradiance__582,power_factor__596,system_id
2023-01-15 00:00:00,0.1535827999999999,6.760096,235.7428,4.16638,13.29457,5.598951,0.0006666667,0.2,0.0001333333,3.658333,2.133333,2.691667,1.991667,-2.629258,0.1860062,33
2023-01-15 00:01:00,0.1534692,6.754831,235.6185,4.196992,13.29139,5.58803,0.0013333329999999,0.2,0.0002666667,3.675,2.091667,2.683333,1.958333,-2.658046,0.1855039,33
2023-01-15 00:02:00,0.1534494,6.763958,235.5694,4.256672,13.29194,5.571087,0.0013333329999999,0.2,0.0002666667,3.808333,2.108333,2.633333,1.941667,-2.590875,0.1860338,33
2023-01-15 00:03:00,0.1534981,6.76709,235.5417,4.310809,13.29199,5.557909,0.0013333329999999,0.2,0.0002666667,3.908333,2.091667,2.641667,1.908333,-2.552491,0.1857146,33
2023-01-15 00:04:00,0.1533827,6.752346,235.5682,4.299779,13.29433,5.538328,0.0013333329999999,0.2,0.0002666667,3.925,2.008333,2.575,1.858333,-2.456533,0.1859469,33
2023-01-15 00:05:00,0.1533824,6.768532,235.5386,4.236832,13.29577,5.526278,0.0013333329999999,0.1916667,0.0002666667,3.816667,1.908333,2.558333,1.741667,-2.408554,0.185563,33
2023-01-15 00:06:00,0.1533565,6.766659,235.5553,4.099003,13.29625,5.503875,0.002666667,0.1666667,0.0004666666999999,3.666667,1.816667,2.45,1.625,-2.350979,0.185013,33
2023-01-15 00:07:00,0.1534003999999999,6.770355,235.6084,3.957032,13.29723,5.485237,0.0013333329999999,0.1333332999999999,6.666667e-05,3.55,1.766667,2.366667,1.5,-2.379767,0.1858429,33
2023-01-15 00:08:00,0.1533876,6.791145,235.7866,3.875323,13.29728,5.464526,0.0013333329999999,0.1333332999999999,0.0002666667,3.475,1.716667,2.3,1.4,-2.504512,0.1866681,33
2023-01-15 00:09:00,0.1538722999999999,6.808074,236.2782,3.879194,13.29738,5.441935,0.0006666667,0.1333332999999999,6.666667e-05,3.558333,1.691667,2.3,1.4,-2.590875,0.1857998999999999,33
2023-01-15 00:10:00,0.1538018999999999,6.809424,236.422,3.854578,13.29744,5.423109,0.003333333,0.125,0.0003333333999999,3.416667,1.666667,2.275,1.425,-2.629258,0.1854803999999999,33
2023-01-15 00:11:00,0.1539264999999999,6.832133,236.5145,3.84905,13.29474,5.399008,0.0006666667,0.0999999899999999,6.666667e-05,3.466666,1.6,2.241667,1.4,-2.638854,0.1855352999999999,33
2023-01-15 00:12:00,0.1540059,6.84386,236.6808,3.888776,13.29756,5.38357,0.0,0.0999999899999999,0.0,3.483333,1.591667,2.216667,1.358333,-2.629258,0.1860405,33
2023-01-15 00:13:00,0.1540188999999999,6.834446,236.6493,4.01768,13.2985,5.359847,0.0006666667,0.0999999899999999,6.666667e-05,3.758333,1.566667,2.2,1.4,-2.590875,0.1868113,33
2023-01-15 00:14:00,0.1537667,6.799804,236.3505,4.349012,13.29948,5.337255,0.0,0.0999999899999999,0.0,4.208333,1.691667,2.241667,1.483333,-2.542896,0.186236,33
2023-01-15 00:15:00,0.1537724,6.805642,236.4015,4.63453,13.30088,5.311275,0.0013333329999999,0.0999999899999999,0.0001333333,4.466667,1.791667,2.291667,1.625,-2.274212,0.1852920999999999,33
2023-01-15 00:16:00,0.1538712999999999,6.849459,236.4234,4.817556,13.30275,5.296023,0.0006666667,0.0999999899999999,6.666667e-05,4.483333,1.891667,2.408333,1.833333,-2.101487,0.1859205999999999,33
2023-01-15 00:17:00,0.1539351999999999,6.830154,236.4633,4.701021,13.30278,5.273996,0.0013333329999999,0.0999999899999999,0.0001333333,4.183333,1.841667,2.316667,1.825,-1.938358,0.1865238999999999,33
2023-01-15 00:18:00,0.1538594,6.797763,236.4411,4.637714,13.30279,5.260817,0.0013333329999999,0.0999999899999999,6.666667e-05,4.175,1.841667,2.308333,1.858333,-1.928762,0.1857012,33
2023-01-15 00:19:00,0.1538907999999999,6.789831,236.3677,4.60394,13.30283,5.240671,0.002,0.0999999899999999,0.0002666667,4.233334,1.841667,2.3,1.866667,-1.909571,0.1867593999999999,33
2023-01-15 00:20:00,0.1538282,6.824791,236.3831,4.651679,13.30329,5.225422,0.002,0.0999999899999999,0.0002,4.291667,1.858333,2.383333,1.908333,-1.928762,0.1863528999999999,33
2023-01-15 00:21:00,0.1538439,6.820322,236.3732,4.730914,13.30332,5.206596,0.002,0.0999999899999999,0.0002,4.358333,1.891667,2.375,1.875,-1.928762,0.186289,33
2023-01-15 00:22:00,0.1539349999999999,6.810734,236.3956,4.708564,13.30333,5.189274,0.002,0.0999999899999999,0.0002,4.3,1.808333,2.341666,1.8,-1.880783,0.1857617,33
