measured_on,das_battery_voltage__351,das_temp__350,dc_pos_current__348,dc_pos_voltage__347,dc_power__346,module_temp_1__349,poa_irradiance__345,system_id
2020-01-01 03:45:00,12.16701,2.040216,0.0003139999999999,-0.5365396,-0.0001684734,-6.281734,0.0,2
2020-01-01 03:50:00,12.16701,2.071018,0.0003139999999999,-0.5304455,-0.0001665599,-6.17832,0.0,2
2020-01-01 03:55:00,12.16692,2.106527,0.0003139999999999,-0.526503,-0.000165322,-6.168478,0.0,2
2020-01-01 04:00:00,12.16701,2.131906,0.0003139999999999,-0.5214804,-0.0001637448999999,-6.197336,0.0,2
2020-01-01 04:05:00,12.16683,2.170011,0.0003139999999999,-0.5218422,-0.0001638585,-6.102562,0.0,2
2020-01-01 04:10:00,12.16701,2.210565,0.0003139999999999,-0.5322508999999999,-0.0001671268,-5.851432,0.0,2
2020-01-01 04:15:00,12.16683,2.249764,0.0003139999999999,-0.5088831999999999,-0.0001597892999999,-5.77334,0.0,2
2020-01-01 04:20:00,12.16683,2.282747,0.0003139999999999,-0.5458733,-0.0001714041999999,-5.744936,0.0,2
2020-01-01 04:25:00,12.16701,2.319084,0.0003139999999999,-0.5343953999999999,-0.0001678002,-5.389964,0.0,2
2020-01-01 04:30:00,12.16692,2.356475,0.0003139999999999,-0.5221858999999999,-0.0001639664,-3.900189,-0.004249348,2
2020-01-01 04:35:00,12.16665,2.482165,0.0003139999999999,-0.5315045,-0.0001668924,-1.91871,0.0212468,2
2020-01-01 04:40:00,12.16674,2.693743,0.0003139999999999,-0.5066981999999999,-0.0001591032,-0.6869119,-0.0042493749999999,2
2020-01-01 04:45:00,12.1661,2.943993,0.0003139999999999,-0.5296532999999999,-0.0001663110999999,0.578731,-0.0169974999999999,2
2020-01-01 04:50:00,12.16491,3.223914,0.0003139999999999,-0.5027127,-0.0001578518,1.240408,-0.02974571,2
2020-01-01 04:55:00,12.16208,3.536106,0.0003139999999999,-0.4969416999999999,-0.0001560397,1.028619,-0.06373977,2
2020-01-01 05:00:00,12.16162,3.850517,0.0003139999999999,-0.4807715,-0.0001509623,0.5932882999999999,-0.05948946,2
2020-01-01 05:05:00,12.16162,4.052984,0.0003139999999999,-0.4581473999999999,-0.0001438583,-0.4173799999999999,-0.1827140999999999,2
2020-01-01 05:10:00,12.16162,4.15804,0.0003139999999999,-0.4541935999999999,-0.0001426168,-1.125977,-0.1104748,2
2020-01-01 05:15:00,12.16162,4.218211,0.0003139999999999,-0.4915223,-0.000154338,-1.892035,-0.1104736,2
2020-01-01 05:20:00,12.16137,4.23587,0.0003139999999999,-0.4814694999999999,-0.0001511813999999,-2.780183,-0.0084977999999999,2
2020-01-01 05:25:00,12.16152,4.23587,0.0003139999999999,-0.4775197999999999,-0.0001499411999999,-3.342482,-0.004248782,2
2020-01-01 05:30:00,12.16189,4.23587,0.0003139999999999,-0.4936723,-0.0001550130999999,-3.516596,0.0,2
2020-01-01 05:35:00,12.16186,4.237226,0.0003139999999999,-0.4674678999999999,-0.0001467848999999,-2.828861,-0.00424868,2
2020-01-01 05:40:00,12.16287,4.25624,0.0003139999999999,-0.4552630999999999,-0.0001429526,-2.633984,0.0,2
2020-01-01 05:45:00,12.16273,4.278797,0.0003139999999999,-0.4606473999999999,-0.0001446433,-2.40427,0.0,2
2020-01-01 05:50:00,12.16257,4.292691,0.0003139999999999,-0.4900818,-0.0001538857,-2.433198,0.0,2
2020-01-01 05:55:00,12.16233,4.29608,0.0003139999999999,-0.4936712999999999,-0.0001550128,-2.57385,0.0,2
2020-01-01 06:00:00,12.16229,4.299129,0.0003139999999999,-0.4846974,-0.0001521949999999,-2.605537,0.0,2
2020-01-01 06:05:00,12.16272,4.314566,0.0003139999999999,-0.4954661,-0.0001555763,-2.491739,0.0,2
