measured_on,ac_current__588,ac_power__584,ac_voltage__587,ambient_temp__589,das_battery_voltage__595,das_temp__594,dc_pos_current__586,dc_pos_voltage__585,dc_power__583,inverter_temp__593,module_temp_1__590,module_temp_2__591,module_temp_3__592,poa_irradiance__582,power_factor__596,system_id
2022-04-15 00:00:00,0.1555055999999999,6.768547,237.8289,5.540726,13.30114,4.965607,0.003333333,0.7416666,0.0023999999999999,5.258333,2.175,2.75,2.625,-1.669675,0.1821422,33
2022-04-15 00:01:00,0.1555069,6.775364,237.8071,5.864424,13.29748,4.965607,0.002,0.6999999999999998,0.0014,5.633333,2.316667,2.916667,2.791667,-1.631292,0.1814086,33
2022-04-15 00:02:00,0.1553984999999999,6.758698,237.7975,5.99157,13.29931,4.965607,0.0006666667,0.7749998999999999,0.0004666666999999,5.616666,2.425,3.041667,2.941667,-1.439375,0.1809944,33
2022-04-15 00:03:00,0.1558479,6.784602,238.3422,6.000139,13.29931,4.965607,0.002,0.8,0.0016,5.55,2.475,3.1,3.041667,-1.295437,0.1813506,33
2022-04-15 00:04:00,0.1560005999999999,6.817186,238.5637,5.801548,13.29931,4.965607,0.0006666667,0.8,0.0005333332999999,5.183333,2.466666,3.083333,3.025,-1.170692,0.1818529,33
2022-04-15 00:05:00,0.1560349,6.820724,238.6021,4.756065,13.29794,4.975021,0.002,0.8,0.0016,3.675,2.333333,2.916667,2.808333,-1.132308,0.1819763,33
2022-04-15 00:06:00,0.1560170999999999,6.837581,238.5708,3.823646,13.29839,4.988201,0.004666667,0.8,0.003733333,2.875,2.25,2.808333,2.583333,-1.468162,0.1824653,33
2022-04-15 00:07:00,0.1560062,6.840963,238.5583,3.350215,13.29794,4.988201,0.002,0.8,0.0016,2.775,2.158333,2.7,2.491667,-1.861591,0.1826149,33
2022-04-15 00:08:00,0.1560156,6.804591,238.6219,3.228925,13.29839,4.988201,0.003333333,0.8,0.0021333329999999,2.925,2.108333,2.641667,2.375,-2.168658,0.1815826,33
2022-04-15 00:09:00,0.1560047,6.815362,238.4962,3.154984,13.29977,4.988201,0.004666667,0.8,0.004266667,2.908333,2.008333,2.541667,2.25,-2.235829,0.1820369,33
2022-04-15 00:10:00,0.1556904,6.776693,238.1204,3.184417,13.3016,4.988201,0.002,0.8,0.0016,3.075,1.975,2.508333,2.183333,-2.41815,0.1814400999999999,33
2022-04-15 00:11:00,0.1556796,6.758218,238.0732,3.370315,13.29885,4.988201,0.002,0.8,0.0016,3.45,1.958333,2.475,2.15,-2.41815,0.1811784999999999,33
2022-04-15 00:12:00,0.1556705999999999,6.804,238.0329,3.473647,13.30252,4.988201,0.0006666667,0.8,0.0005333332999999,3.55,1.891667,2.383333,2.066667,-2.379767,0.1825911,33
2022-04-15 00:13:00,0.1559752,6.845135,238.3079,3.360683,13.30252,4.975021,0.002666667,0.8,0.0016,3.075,1.8,2.341666,1.95,-2.274212,0.1825365999999999,33
2022-04-15 00:14:00,0.1562114,6.829492,238.6285,3.459591,13.30343,4.965607,0.003333333,0.8,0.0032,3.25,1.783333,2.333333,1.925,-2.235829,0.1817921999999999,33
2022-04-15 00:15:00,0.1561155999999999,6.818065,238.7001,3.901403,13.30343,4.965607,0.0013333329999999,0.8,0.0005333332999999,3.75,1.808333,2.358333,2.033333,-2.226233,0.1818702,33
2022-04-15 00:16:00,0.156177,6.830591,238.7853,4.015394,13.30343,4.965607,0.0013333329999999,0.8,0.001066667,3.758333,1.908333,2.416667,2.133333,-2.034317,0.1823845,33
2022-04-15 00:17:00,0.1560353999999999,6.832106,238.6796,4.09622,13.30343,4.955441,0.0013333329999999,0.8,0.0016,3.825,1.95,2.441667,2.141667,-1.880783,0.1827691999999999,33
2022-04-15 00:18:00,0.1559008,6.796944,238.3449,4.43211,13.30343,4.945274,0.002666667,0.8,0.0021333329999999,4.308333,2.008333,2.525,2.241667,-1.746441,0.1817662999999999,33
2022-04-15 00:19:00,0.1558510999999999,6.786118,238.2864,4.53023,13.30343,4.945274,0.0013333329999999,0.8,0.001066667,4.333333,2.05,2.458333,2.275,-1.592908,0.1810717,33
2022-04-15 00:20:00,0.1557534999999999,6.807185,238.2711,4.499436,13.30343,4.945274,0.003333333,0.8,0.0021333329999999,4.175,2.05,2.491667,2.241667,-1.516142,0.1819098,33
2022-04-15 00:21:00,0.1557475,6.780207,238.2416,4.566562,13.30343,4.941509,0.002,0.8,0.0021333329999999,4.358333,2.058333,2.541667,2.266667,-1.458567,0.1815896999999999,33
2022-04-15 00:22:00,0.1556892,6.801016,238.1245,4.809745,13.30343,4.922684,0.003333333,0.8,0.002666667,4.65,2.1,2.6,2.283333,-1.429779,0.1821377999999999,33
2022-04-15 00:23:00,0.1557147999999999,6.770383,238.1457,4.742459,13.30343,4.922684,0.0013333329999999,0.8,0.001066667,4.358333,2.2,2.691667,2.383333,-1.257054,0.181377,33
2022-04-15 00:24:00,0.1557215,6.795707,238.1794,5.166781,13.30252,4.922684,0.002,0.8,0.0016,4.966667,2.283333,2.766666,2.525,-1.045946,0.1818428,33
2022-04-15 00:25:00,0.1556479,6.817772,238.132,5.527859,13.30343,4.922684,0.004,0.8,0.0032,5.383333,2.433333,2.9,2.675,-1.093925,0.1824828,33
2022-04-15 00:26:00,0.1556729,6.785316,238.1763,6.067715,13.30343,4.920989,0.003333333,0.8,0.0021333329999999,5.933333,2.733333,3.25,3.066667,-1.084329,0.1816017,33
2022-04-15 00:27:00,0.1556136999999999,6.790253,238.0177,6.406347,13.30343,4.922684,0.002,0.8,0.0021333329999999,6.141666,2.941667,3.458333,3.35,-0.9691792,0.1819115,33
2022-04-15 00:28:00,0.1557475,6.783692,238.1388,6.514099,13.30297,4.922684,0.002,0.8,0.0016,6.075,3.0,3.5,3.416667,-0.7484749,0.1816329,33
